count|name|units|Variable name in CDS|shortName|paramId|an|fc
1|Vertical integral of mass of atmosphere|kg m**-2|vertical_integral_of_mass_of_atmosphere|vima|162053|x|x
2|Vertical integral of temperature|K kg m**-2|vertical_integral_of_temperature|vit|162054|x|x
3|Vertical integral of kinetic energy|J m**-2|vertical_integral_of_kinetic_energy|vike|162059|x|x
4|Vertical integral of thermal energy|J m**-2|vertical_integral_of_thermal_energy|vithe|162060|x|x
5|Vertical integral of potential+internal energy|J m**-2|vertical_integral_of_potential_and_internal_energy|vipie|162061|x|x
6|Vertical integral of potential+internal+latent energy|J m**-2|vertical_integral_of_potential_internal_and_latent_energy|vipile|162062|x|x
7|Vertical integral of total energy|J m**-2|vertical_integral_of_total_energy|vitoe|162063|x|x
8|Vertical integral of energy conversion|W m**-2|vertical_integral_of_energy_conversion|viec|162064|x|x
9|Vertical integral of eastward mass flux|kg m**-1 s**-1|vertical_integral_of_eastward_mass_flux|vimae|162065|x|x
10|Vertical integral of northward mass flux|kg m**-1 s**-1|vertical_integral_of_northward_mass_flux|viman|162066|x|x
11|Vertical integral of eastward kinetic energy flux|W m**-1|vertical_integral_of_eastward_kinetic_energy_flux|vikee|162067|x|x
12|Vertical integral of northward kinetic energy flux|W m**-1|vertical_integral_of_northward_kinetic_energy_flux|viken|162068|x|x
13|Vertical integral of eastward heat flux|W m**-1|vertical_integral_of_eastward_heat_flux|vithee|162069|x|x
14|Vertical integral of northward heat flux|W m**-1|vertical_integral_of_northward_heat_flux|vithen|162070|x|x
15|Vertical integral of eastward water vapour flux|kg m**-1 s**-1|vertical_integral_of_eastward_water_vapour_flux|viwve|162071|x|x
16|Vertical integral of northward water vapour flux|kg m**-1 s**-1|vertical_integral_of_northward_water_vapour_flux|viwvn|162072|x|x
17|Vertical integral of eastward geopotential flux|W m**-1|vertical_integral_of_eastward_geopotential_flux|vige|162073|x|x
18|Vertical integral of northward geopotential flux|W m**-1|vertical_integral_of_northward_geopotential_flux|vign|162074|x|x
19|Vertical integral of eastward total energy flux|W m**-1|vertical_integral_of_eastward_total_energy_flux|vitoee|162075|x|x
20|Vertical integral of northward total energy flux|W m**-1|vertical_integral_of_northward_total_energy_flux|vitoen|162076|x|x
21|Vertical integral of eastward ozone flux|kg m**-1 s**-1|vertical_integral_of_eastward_ozone_flux|vioze|162077|x|x
22|Vertical integral of northward ozone flux|kg m**-1 s**-1|vertical_integral_of_northward_ozone_flux|viozn|162078|x|x
23|Vertical integral of divergence of cloud liquid water flux|kg m**-2 s**-1|vertical_integral_of_divergence_of_cloud_liquid_water_flux|vilwd|162079|x|x
24|Vertical integral of divergence of cloud frozen water flux|kg m**-2 s**-1|vertical_integral_of_divergence_of_cloud_frozen_water_flux|viiwd|162080|x|x
25|Vertical integral of divergence of mass flux|kg m**-2 s**-1|vertical_integral_of_divergence_of_mass_flux|vimad|162081|x|x
26|Vertical integral of divergence of kinetic energy flux|W m**-2|vertical_integral_of_divergence_of_kinetic_energy_flux|viked|162082|x|x
27|Vertical integral of divergence of thermal energy flux|W m**-2|vertical_integral_of_divergence_of_thermal_energy_flux|vithed|162083|x|x
28|Vertical integral of divergence of moisture flux|kg m**-2 s**-1|vertical_integral_of_divergence_of_moisture_flux|viwvd|162084|x|x
29|Vertical integral of divergence of geopotential flux|W m**-2|vertical_integral_of_divergence_of_geopotential_flux|vigd|162085|x|x
30|Vertical integral of divergence of total energy flux|W m**-2|vertical_integral_of_divergence_of_total_energy_flux|vitoed|162086|x|x
31|Vertical integral of divergence of ozone flux|kg m**-2 s**-1|vertical_integral_of_divergence_of_ozone_flux|viozd|162087|x|x
32|Vertical integral of eastward cloud liquid water flux|kg m**-1 s**-1|vertical_integral_of_eastward_cloud_liquid_water_flux|vilwe|162088|x|x
33|Vertical integral of northward cloud liquid water flux|kg m**-1 s**-1|vertical_integral_of_northward_cloud_liquid_water_flux|vilwn|162089|x|x
34|Vertical integral of eastward cloud frozen water flux|kg m**-1 s**-1|vertical_integral_of_eastward_cloud_frozen_water_flux|viiwe|162090|x|x
35|Vertical integral of northward cloud frozen water flux|kg m**-1 s**-1|vertical_integral_of_northward_cloud_frozen_water_flux|viiwn|162091|x|x
36|Vertical integral of mass tendency|kg m**-2 s**-1|vertical_integral_of_mass_tendency|vimat|162092|x|
37|Total column cloud liquid water|kg m**-2|total_column_cloud_liquid_water|tclw|78|x|x
38|Total column cloud ice water|kg m**-2|total_column_cloud_ice_water|tciw|79|x|x
39|Total column supercooled liquid water|kg m**-2|total_column_supercooled_liquid_water|tcslw|228088||x
40|Total column rain water|kg m**-2|total_column_rain_water|tcrw|228089|x|x
41|Total column snow water|kg m**-2|total_column_snow_water|tcsw|228090|x|x
42|Total column water|kg m**-2|total_column_water|tcw|136|x|x
43|Total column water vapour|kg m**-2|total_column_water_vapour|tcwv|137|x|x
44|Total column ozone|kg m**-2|total_column_ozone|tco3|206|x|x
